model_name,accuracy_score,balanced_accuracy_score,model_best_params
SVC,0.6316836607809003,0.4821260956766758,"{'clf__C': 1000, 'clf__gamma': 0.1}"
SVC,0.6132802785376772,0.47474124162799514,"{'clf__C': 100, 'clf__gamma': 0.1, 'vect__ngram_range': [1, 1], 'vect__sublinear_tf': 'True'}"
SVC,0.1330514797314101,0.11451575630313386,"{'clf__C': 10000, 'clf__gamma': 0.1, 'vect__ngram_range': [1, 1], 'vect__sublinear_tf': 'True'}"
SVC,0.12583934344690376,0.11425113615099922,"{'clf__C': 100, 'clf__gamma': 0.1, 'vect__ngram_range': [1, 1], 'vect__sublinear_tf': 'True'}"
SVC,0.13081323053966676,0.1129611495192555,"{'clf__C': 100, 'clf__gamma': 0.1, 'vect__ngram_range': [1, 1], 'vect__sublinear_tf': 'True'}"
SVC,0.6674956478487938,0.5394314418291983,"{'clf__C': 1000, 'clf__gamma': 0.1, 'vect__ngram_range': [1, 1], 'vect__sublinear_tf': 'True'}"
SVC,0.6480974881870182,0.48723813891933476,"{'clf__C': 1500, 'clf__class_weight': 'balanced', 'clf__gamma': 1.0, 'vect__ngram_range': [1, 1], 'vect__sublinear_tf': 'True'}"
SVC,0.6319323551355385,0.47182737850426293,"{'clf__C': 1500, 'clf__class_weight': 'balanced', 'clf__gamma': 1.0, 'clf__kernel': 'rbf', 'vect__lowercase': 'True', 'vect__ngram_range': [1, 1], 'vect__sublinear_tf': 'True'}"
SVC,0.6406366575478737,0.5337430457635246,"{'clf__C': 1500, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovo', 'clf__degree': 1, 'clf__gamma': 0.1, 'clf__kernel': 'rbf', 'vect__lowercase': 'True', 'vect__ngram_range': [1, 1], 'vect__sublinear_tf': 'True'}"
DecisionTreeClassifier,0.5456354140761005,0.367016281380145,"{'clf__criterion': 'gini', 'clf__max_features': 'sqrt', 'clf__splitter': 'best'}"
AdaBoostClassifier,0.10569510072121363,0.014118268598054892,"{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50}"
